name sample,ADP (mV),AHP (mV),AI,AP amplitude (mV),AP threshold (mV),AP width (ms),Max number of spikes,Input R (MOhm),Vm (mV),Latency (ms),Rheobase (pA),Sag ratio,Tau (ms),Cell type
04 03 2017 slice 4 cell 2,0.0,-19.844945520162586,114.39949567169458,60.7434269040823,-37.577088922262185,0.4799999999999943,110,105.50503031909466,-73.35984535589814,16.240000000000006,228.81720430107524,1.0697113370782771,5.312518441420222,DBC
05 10 2017 slice 3 cell 6,0.0,-18.241897225379947,115.51816557474696,60.637615621089935,-37.97073289752007,0.4799999999999943,121,138.39764940738678,-70.46282059609891,9.800000000000002,220.0,1.03420000679762,6.248472978735251,DBC
01 12 2017 slice 1 cell 3,0.0,-17.974682152271267,110.31345129375951,67.13632307946682,-47.600314021110535,0.5200000000000066,75,226.42902524769292,-70.56777225762605,9.840000000000002,40.416666666666686,1.0568274482259277,10.184951600160595,DBC
09 12 2017 slice 3 cell 3,0.0,-19.42724362015724,117.34090909090895,59.76925417780876,-40.41983559727669,0.5199999999999927,67,150.18625219166282,-72.5702996736765,15.800000000000008,168.84536082474224,1.0580286184131242,7.381818544685596,DBC
11 29 2016 slice 3 cell 7,0.0,-19.245970994234085,114.8538557213932,65.88931009173393,-35.134755074977875,0.5200000000000066,83,132.1641672700645,-68.72780725747346,16.28,191.4893617021277,1.0538909341911735,7.462294261853223,DBC
07 17 2017 slice 4 cell 3,0.0,-20.10529860854149,108.77224049245312,62.91888281702995,-42.30104759335518,0.439999999999996,132,136.3081696629525,-75.5097038412094,18.16000000000001,157.95580110497238,1.0973639603426104,5.860239845442033,DBC
03 17 2017 slice 1 cell 2,0.0,-18.06091144680977,114.44950120148548,69.39025036990643,-38.706626743078225,0.5600000000000049,49,165.2217317521573,-64.620883923769,15.840000000000007,120.0,1.1554571792165151,12.008410429543831,DBC
02 13 2017 slice 2 cell 3,0.0,-16.647085547447205,111.21739130434776,70.00716030597687,-44.80284824967384,0.5200000000000066,84,158.61107239127162,-72.25449693411589,9.400000000000006,82.32558139534882,1.0267843616803487,7.138765595615809,DBC
08 24 2017 slice 1 cell 3,0.0,-7.828764617443085,114.61553982740423,81.45982585847378,-58.98749828338623,0.4799999999999805,80,117.65216174721729,-69.43973845601082,182.88,75.0,1.06098583182049,7.213012260576989,DBC
07 04 2017 slice 2 cell 6,0.0,-22.458367049694058,114.45833333333331,62.07015924155712,-38.20035606622696,0.4400000000000098,102,150.0266809314489,-73.1996134096384,19.12,152.0,1.030609860636016,6.692074526321229,DBC
07 03 2017 slice 1 cell 7,0.0,-19.19946819543839,110.68657836034508,50.83437077701092,-36.73836961388589,0.439999999999996,98,126.00393247604374,-70.8759620398283,13.359999999999998,211.53846153846152,1.0604007464317573,4.6958480670308065,HEC
07 18 2017 slice 1 cell 3,0.0,-14.183744788169859,121.2129794465124,64.88369964063168,-45.02355307340622,0.5199999999999927,55,217.6793409585954,-75.19669836640358,10.599999999999998,132.68595041322314,1.0755735394475785,7.892857699824507,HEC
01 31 2017 slice 3 cell 6,0.0,-21.909624338150024,122.79057700290585,71.28589414060116,-49.09102618694306,0.4799999999999943,110,186.4009730666875,-67.08568535521627,6.6000000000000085,104.96296296296295,1.0898628985619745,8.133591630992278,HEC
07 03 2017 slice 2 cell 3,0.0,-16.189571470022198,129.16243869440217,52.54525039345026,-45.04038020968437,0.439999999999996,124,171.37313540279874,-60.73253655046224,459.28,40.0,1.051356227350209,7.2707096266294124,SC
01 30 2017 slice 2 cell 2,0.0,-18.004346638917927,109.89916459992172,71.50639221072197,-39.33466225862503,0.5600000000000049,63,137.74924021959308,-67.66989536464214,16.68,166.4356435643564,1.0684879521595576,8.837452210865726,HEC
09 18 2017 slice 1 cell 6,0.0,-19.231852144002914,111.90693430656931,66.63073226809503,-47.1930168569088,0.5199999999999927,46,195.2933926582336,-78.2946981281042,14.080000000000007,134.0,1.1074473212674234,10.595482104339675,HEC
01 14 2017 slice 2 cell 5,0.0,-16.31959155201912,108.93497628138388,73.44543188810349,-45.659828931093216,0.5199999999999927,94,296.9104116857052,-66.23922800302505,12.160000000000005,20.0,1.1159288903546165,15.038300508326927,HEC
10 23 2017 slice 3 cell 6,0.0,-23.13242852687836,110.79115764979622,58.92616510391235,-43.14251989126205,0.4400000000000098,102,168.89942242205143,-75.02408696338534,16.04,118.45544554455446,1.0723681717067275,5.53844172941194,HEC
07 03 2017 slice 1 cell 2,0.0,-16.316406428813938,126.12923697177862,54.63353544473648,-37.49319165945053,0.4799999999999943,94,117.22212110459816,-66.8986079749465,6.6000000000000085,220.0,1.04325825534285,4.460768434638425,HEC
05 08 2017 slice 4 cell 3,0.0,-17.521902918815613,116.54069554382878,62.400970607995994,-41.24033823609352,0.4799999999999943,114,135.78695951402202,-66.42029956549405,17.920000000000005,100.0,1.1217603844175958,7.353476534258928,HEC
03 06 2017 slice 5 cell 7,6.091352552175523,-4.9800537526607505,122.57474131937349,81.29238151013851,-54.75704371929169,0.5600000000000049,86,237.98802280426028,-60.244002630114565,395.0,20.0,1.1726440074454365,11.137789187280537,HEC
01 14 2017 slice 2 cell 2,0.8344352245330809,-3.065008670091629,116.03922105366163,90.35670384764671,-44.933971017599106,1.2800000000000034,13,232.07118543982514,-80.16763269960879,87.84,60.0,1.046209474932664,14.525714004396674,PYR
11 23 2017 slice 1 cell 2,3.809385001659393,-8.531626313924791,176.27511324734616,83.27829465270042,-30.762694776058197,1.0799999999999976,26,151.68605437874794,-73.35005479156969,76.39999999999998,80.0,1.0764120495175442,5.710151274759,PYR
10 19 2016 slice 3 cell 6,0.0,-10.528340935707092,137.03721804103,81.76968991756439,-40.90949520468712,1.2000000000000066,17,228.08032877743253,-72.99185250043867,105.20000000000002,34.0,0.9917683925085816,15.88369117666593,PYR
01 12 2017 slice 1 cell 2,0.0,-5.348745733499528,140.03978226337068,83.94461497664452,-33.624514937400825,1.2399999999999909,15,307.3492168188096,-71.1847576534748,52.040000000000006,68.5714285714286,1.0389660305905335,21.552735186582357,PYR
12 05 2016 slice 5 cell 2,0.0,-2.898741513490677,106.83714456200813,86.04522794485092,-26.197407394647602,1.36,8,302.5860393047331,-45.06267963349821,80.32000000000002,108.78947368421056,1.0263681401812217,21.51044993815936,PYR
